Cidade,Data,Precipitação,Pressão Atmosférica ao nível da estação,Pressão Atmosférica máxima,Pressão Atmosférica mínima,Radiação Global,Temperatura do ar - bulbo seco,Temperatura do ponto de orvalho,Temperatura máxima,Temperatura mínima,Temperatura orvalho máxima,Temperatura orvalho mínima,Umidade Relativa máxima,Umidade Relativa mínima,Umidade Relativa do Ar,Direção Horária do Vento,Rajada Máxima de Vento,Velocidade Horária do Vento
Dom Eliseu,2019-02-10 00:00:00+00:00,0.19642857142857142,981.2208333333328,981.573214285714,980.873809523809,1493.8521739130438,25.465476190476185,,25.986309523809513,24.952976190476193,,,,,,122.97619047619048,3.8529761904761908,1.525000000000001
Dom Eliseu,2019-02-17 00:00:00+00:00,0.38333333333333347,982.6011904761906,982.9065476190477,982.2874999999998,1197.4677419354834,25.125595238095237,,25.612499999999994,24.65000000000001,,,,,,99.375,4.222619047619046,1.6958333333333335
Dom Eliseu,2019-02-24 00:00:00+00:00,0.6130952380952381,982.7589285714284,983.1273809523807,982.4017857142852,1363.6642105263159,24.89583333333334,,25.466666666666654,24.430952380952373,,,,,,119.02380952380952,4.141071428571429,1.639285714285715
Dom Eliseu,2019-03-03 00:00:00+00:00,0.5869047619047623,983.5833333333334,983.8886904761904,983.2696428571431,1217.5362637362641,24.305357142857137,,24.766666666666662,23.87559523809524,,,,,,120.45833333333333,3.670238095238093,1.394642857142857
Dom Eliseu,2019-03-10 00:00:00+00:00,0.430952380952381,983.6297619047612,983.9744047619041,983.2738095238092,1393.8870967741937,24.740476190476187,,25.22380952380952,24.324404761904763,,,,,,97.51785714285714,4.679166666666668,1.7547619047619045
Dom Eliseu,2019-03-17 00:00:00+00:00,0.6940476190476194,982.3190476190482,982.6702380952383,981.9726190476197,1289.7239130434784,24.513095238095232,,25.005952380952387,24.0345238095238,,,,,,123.63690476190476,4.108928571428572,1.5726190476190485
Dom Eliseu,2019-03-24 00:00:00+00:00,0.4583333333333334,982.6041666666662,982.9589285714285,982.2428571428566,1259.9706521739124,25.206547619047612,23.044117647058822,25.689285714285706,24.758333333333344,23.490909090909092,22.650000000000006,89.72727272727273,84.34375,86.70588235294117,175.63095238095238,3.657738095238096,1.4172619047619044
Dom Eliseu,2019-03-31 00:00:00+00:00,1.31547619047619,982.8934523809522,983.2261904761906,982.5511904761902,1320.806315789474,25.120238095238083,23.104999999999993,25.67083333333334,24.622619047619033,23.562804878048784,22.7091463414634,92.35365853658537,86.63414634146342,90.10625,127.77380952380952,4.307142857142857,1.5476190476190472
Dom Eliseu,2019-04-07 00:00:00+00:00,0.7023809523809526,983.017261904762,983.3339285714286,982.694047619048,1413.1755555555558,25.09880952380952,22.847770700636936,25.574404761904763,24.660714285714292,23.31153846153845,22.378205128205117,90.53503184713375,85.21656050955414,87.90445859872611,108.01190476190476,3.5220238095238092,1.3517857142857141
Dom Eliseu,2019-04-14 00:00:00+00:00,0.45357142857142857,982.5815476190479,982.8869047619048,982.2625,1243.0943820224718,25.084523809523812,23.23,25.61904761904763,24.65535714285715,23.664596273291938,22.78757763975154,92.69938650306749,87.46625766871166,90.79375,146.44642857142858,3.3952380952380956,1.2773809523809525
Dom Eliseu,2019-04-21 00:00:00+00:00,0.24285714285714288,982.3785714285718,982.7190476190475,982.0398809523814,1363.9918604651164,25.18273809523809,22.978021978021975,25.735119047619047,24.711904761904755,23.467021276595744,22.710638297872347,91.52083333333333,86.625,89.7032967032967,116.73809523809524,3.805952380952383,1.4166666666666667
Dom Eliseu,2019-04-28 00:00:00+00:00,0.2714285714285714,982.5214285714288,982.8386904761908,982.1988095238095,1390.942352941177,25.33809523809524,23.123926380368097,25.877380952380957,24.809523809523814,23.572392638036803,22.66319018404909,91.15853658536585,85.71951219512195,88.7239263803681,129.21428571428572,3.8535714285714286,1.4886904761904762
Dom Eliseu,2019-05-05 00:00:00+00:00,0.4309523809523811,982.3607142857148,982.6886904761907,982.0416666666669,1563.4941860465117,25.573809523809516,23.005000000000017,26.10714285714285,25.078571428571422,23.50187499999999,22.550625000000007,89.95652173913044,84.59627329192547,87.55625,108.81437125748504,3.984337349397592,1.6754491017964075
Dom Eliseu,2019-05-12 00:00:00+00:00,0.15357142857142855,981.7154761904758,981.9863095238094,981.4369047619044,1376.4823529411763,26.038095238095224,22.945161290322588,26.58392857142855,25.471428571428564,23.46812500000002,22.460625,87.6125,81.5125,84.9483870967742,124.21428571428571,3.9202380952380955,1.641666666666667
Dom Eliseu,2019-05-19 00:00:00+00:00,0.2607142857142857,982.7749999999994,983.0874999999997,982.4607142857137,1340.2535714285714,25.142857142857142,22.88650306748466,25.706547619047623,24.62321428571428,23.330120481927704,22.50361445783133,90.74698795180723,85.55421686746988,88.52760736196319,128.94642857142858,3.8851190476190487,1.5184523809523813
Dom Eliseu,2019-05-26 00:00:00+00:00,0.005952380952380952,982.3470238095235,982.6267857142855,982.0708333333333,1473.6916666666664,25.720833333333342,22.8246835443038,26.307738095238104,25.14583333333332,23.279113924050634,22.365822784810124,88.35849056603773,82.61006289308176,85.65189873417721,108.94642857142857,3.807738095238095,1.6166666666666667
Dom Eliseu,2019-06-02 00:00:00+00:00,0.14523809523809522,982.4666666666669,982.7559523809529,982.185714285714,1529.2116279069764,25.834523809523798,,26.389285714285705,25.27797619047619,,,,,,111.45238095238095,4.0666666666666655,1.6636904761904758
