,Cidade,Data,Precipitação,Pressão Atmosférica ao nível da estação,Pressão Atmosférica máxima,Pressão Atmosférica mínima,Radiação Global,Temperatura do ar - bulbo seco,Temperatura do ponto de orvalho,Temperatura máxima,Temperatura mínima,Temperatura orvalho máxima,Temperatura orvalho mínima,Umidade Relativa máxima,Umidade Relativa mínima,Umidade Relativa do Ar,Direção Horária do Vento,Rajada Máxima de Vento,Velocidade Horária do Vento
636,MINA DO PALITO,2019-01-06 00:00:00+00:00,,,,,,,,,,,,,,,,,
637,MINA DO PALITO,2019-01-13 00:00:00+00:00,,,,,,,,,,,,,,,,,
638,MINA DO PALITO,2019-01-20 00:00:00+00:00,,,,,,,,,,,,,,,,,
639,MINA DO PALITO,2019-01-27 00:00:00+00:00,,,,,,,,,,,,,,,,,
640,MINA DO PALITO,2019-02-03 00:00:00+00:00,,,,,,,,,,,,,,,,,
641,MINA DO PALITO,2019-02-10 00:00:00+00:00,,,,,,,,,,,,,,,,,
642,MINA DO PALITO,2019-02-17 00:00:00+00:00,,,,,,,,,,,,,,,,,
643,MINA DO PALITO,2019-02-24 00:00:00+00:00,,,,,,,,,,,,,,,,,
644,MINA DO PALITO,2019-03-03 00:00:00+00:00,,,,,,,,,,,,,,,,,
645,MINA DO PALITO,2019-03-10 00:00:00+00:00,,,,,,,,,,,,,,,,,
646,MINA DO PALITO,2019-03-17 00:00:00+00:00,,,,,,,,,,,,,,,,,
647,MINA DO PALITO,2019-03-24 00:00:00+00:00,,,,,,,,,,,,,,,,,
648,MINA DO PALITO,2019-03-31 00:00:00+00:00,,,,,,,,,,,,,,,,,
649,MINA DO PALITO,2019-04-07 00:00:00+00:00,,,,,,,,,,,,,,,,,
650,MINA DO PALITO,2019-04-14 00:00:00+00:00,,,,,,,,,,,,,,,,,
651,MINA DO PALITO,2019-04-21 00:00:00+00:00,,,,,,,,,,,,,,,,,
652,MINA DO PALITO,2019-04-28 00:00:00+00:00,,,,,,,,,,,,,,,,,
653,MINA DO PALITO,2019-05-05 00:00:00+00:00,,,,,,,,,,,,,,,,,
654,MINA DO PALITO,2019-05-12 00:00:00+00:00,,,,,,,,,,,,,,,,,
655,MINA DO PALITO,2019-05-19 00:00:00+00:00,,,,,,,,,,,,,,,,,
656,MINA DO PALITO,2019-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,
657,MINA DO PALITO,2019-06-02 00:00:00+00:00,0.628,980.674,980.9639999999999,980.3459999999999,501.98199999999997,25.070000000000004,22.685999999999993,25.552000000000003,24.693999999999996,23.097999999999992,22.31600000000001,87.42,86.0,86.9,171.7,2.908000000000001,0.9200000000000003
658,MINA DO PALITO,2019-06-09 00:00:00+00:00,0.03333333333333334,981.8363095238097,982.0946428571426,981.5625000000003,747.3839285714284,26.276190476190465,22.355952380952385,26.741071428571423,25.813690476190466,22.763095238095243,21.98273809523809,80.875,78.76785714285714,79.75,146.0297619047619,2.8446428571428597,1.0291666666666663
659,MINA DO PALITO,2019-06-16 00:00:00+00:00,0.0,982.5307692307694,982.6461538461537,982.2769230769231,97.16923076923078,24.361538461538462,20.51538461538462,24.861538461538466,24.12307692307692,20.63076923076923,20.18461538461539,79.6923076923077,77.53846153846153,79.53846153846153,177.15384615384616,1.2692307692307696,0.49999999999999994
660,MINA DO PALITO,2019-06-23 00:00:00+00:00,0.0,982.0,982.0,981.7,0.0,27.3,17.8,28.1,27.3,17.9,17.8,56.0,54.0,56.0,76.0,1.6,0.9
661,MINA DO PALITO,2019-06-30 00:00:00+00:00,0.0,981.0250000000002,981.2630952380958,980.7988095238094,734.4863095238097,26.467261904761916,19.80059523809524,27.012500000000017,25.93988095238096,20.228571428571428,19.397619047619045,69.94642857142857,66.60714285714286,68.26190476190476,133.2202380952381,2.6011904761904763,1.0005952380952383
662,MINA DO PALITO,2019-07-07 00:00:00+00:00,0.1130952380952381,981.3863095238094,981.6261904761903,981.127976190476,593.1625,25.9220238095238,20.823809523809526,26.449404761904766,25.430952380952373,21.233333333333338,20.401190476190482,75.97619047619048,73.45238095238095,74.80357142857143,168.73214285714286,2.5654761904761902,0.8970238095238094
663,MINA DO PALITO,2019-07-14 00:00:00+00:00,0.0,982.3136904761903,982.5720238095237,982.0779761904759,681.6416666666665,26.05535714285715,20.326190476190476,26.533928571428575,25.557142857142853,20.74166666666666,19.95297619047618,73.43452380952381,70.64880952380952,71.95238095238095,140.88095238095238,2.711904761904761,0.9244047619047615
